sentence,label,intent
round trip fares Warsaw to Istanbul,O O O origin O destination,other
if I am going to Berlin should I bring umbrella,O O O O O location O O O O,weather
what is the ground transportation from philadelphia airport to the city proper,O O O O O O O O O O O O,other
okay and on may four i would like to go from Sydney to Chennai leaving early in the morning around _D_,O O O O O O O O O O O origin O destination O O O O O O O,flight
do I need to bring umbrella to Seoul today,O O O O O O O location O,weather
temperature in Rome,O O location,weather
current weather in Florence,O O O location,weather
what 's the cheapest round trip flight on twa from Burgas to Kraków,O O O O O O O O O O origin O destination,flight
will Los Angeles be hot,O location location O O,weather
I want to know if it will rain in Buenos Aires,O O O O O O O O O location location,weather
Doha weather,location O,weather
do I need to bring umbrella to Melbourne today,O O O O O O O location O,weather
i want to know the cheapest way to fly from Milan to Honolulu,O O O O O O O O O O origin O destination,flight
list all flights from Buenos Aires to Kraków on friday,O O O O origin origin O destination O O,flight
show me the flights that go from Bucharest to Seoul on thursday mornings,O O O O O O O origin O destination O O O,flight
i 'd like to fly from Prague to Brussels on american airlines,O O O O O O origin O destination O O O,flight
what airline is ac,O O O O,other
what are the fares for flights between Tokyo and Burgas dc,O O O O O O O origin O destination O,other
all right what i 'd like to do is find the cheapest one way fare from Lima to Rome,O O O O O O O O O O O O O O O O origin O destination,other
how long will it rain in Artvin,O O O O O O location,weather
show me the ground transportation in the salt lake city airport,O O O O O O O O O O O,other
please find a flight from Nairobi to Barcelona that makes a stop in chicago on may seventeenth one way with dinner,O O O O O origin O destination O O O O O O O O O O O O O,flight
show me all prices of economy from Manila to Zhuhai,O O O O O O O origin O destination,other
i would like a flight as early as possible in the day leaving from Krabi and to Hong Kong,O O O O O O O O O O O O O O origin O O destination destination,flight
will Hangzhou be hot,O location O O,weather
find me the weather in London,O O O O O location,weather
how far is the airport from Venice,O O O O O O origin,other
how much is coach flight from Nairobi to Zurich,O O O O O O origin O destination,other
show me flights from Florence to Abu Dhabi please,O O O O origin O destination destination O,flight
what does flight code us mean,O O O O O O,flight
what flights are there from Shenzhen to Delhi on wednesday morning,O O O O O origin O destination O O O,flight
i want to go from Mexico City to Seoul,O O O O O origin origin O destination,flight
what 's the capacity of a _D_,O O O O O O O,other
if I am going to Hong Kong should I bring umbrella,O O O O O location location O O O O,weather
what ground transportation is available between milwaukee airport and downtown milwaukee,O O O O O O O O O O O,other
what flights do you have available from Manila Manila and Manila into Pattaya,O O O O O O O origin origin O origin O destination,flight
i need information on a flight from Hanoi to Marrakech,O O O O O O O origin O destination,flight
what does ap_D_ mean,O O O O,other
find me the weather in Sousse,O O O O O location,weather
first class fares from London to Sharjah please,O O O O origin O destination O,other
find me the weather forecast for Rome,O O O O O O location,weather
get flights from Manama to Berlin,O O O origin O destination,flight
